,Perpetrator Sex,State,Relationship,Relationship Total
244,Female,Hawaii,Stranger,5
245,Female,Hawaii,Family,4
246,Female,Hawaii,Unknown,4
247,Female,Hawaii,Friend,3
248,Female,Hawaii,Mother,3
249,Female,Hawaii,Common-Law Husband,2
250,Female,Hawaii,Ex-Husband,1
251,Female,Hawaii,Father,1
252,Female,Hawaii,Neighbor,1
253,Female,Hawaii,Stepson,1
254,Female,Idaho,Husband,33
255,Female,Idaho,Acquaintance,23
256,Female,Idaho,Son,13
257,Female,Idaho,Boyfriend,10
258,Female,Idaho,Daughter,10
259,Female,Idaho,Unknown,8
260,Female,Idaho,Family,6
261,Female,Idaho,Ex-Husband,5
262,Female,Idaho,Father,5
263,Female,Idaho,Mother,3
264,Female,Idaho,Stranger,3
265,Female,Idaho,Common-Law Husband,2
266,Female,Idaho,Brother,1
267,Female,Idaho,Friend,1
268,Female,Idaho,Sister,1
269,Female,Idaho,Stepfather,1
270,Female,Idaho,Stepson,1
271,Female,Illinois,Boyfriend,394
272,Female,Illinois,Acquaintance,219
273,Female,Illinois,Husband,197
274,Female,Illinois,Unknown,180
275,Female,Illinois,Common-Law Husband,134
276,Female,Illinois,Stranger,112
277,Female,Illinois,Daughter,111
278,Female,Illinois,Son,109
279,Female,Illinois,Friend,96
280,Female,Illinois,Family,49
281,Female,Illinois,Neighbor,41
282,Female,Illinois,Mother,22
283,Female,Illinois,Brother,20
284,Female,Illinois,Ex-Husband,16
285,Female,Illinois,Girlfriend,14
286,Female,Illinois,Father,13
287,Female,Illinois,Boyfriend/Girlfriend,9
288,Female,Illinois,Wife,9
289,Female,Illinois,Sister,8
290,Female,Illinois,Stepfather,7
291,Female,Illinois,In-Law,5
292,Female,Illinois,Common-Law Wife,4
293,Female,Illinois,Stepson,3
294,Female,Illinois,Employer,2
295,Female,Illinois,Stepdaughter,1
296,Female,Illinois,Stepmother,1
297,Female,Indiana,Boyfriend,183
298,Female,Indiana,Acquaintance,176
299,Female,Indiana,Husband,143
300,Female,Indiana,Son,72
301,Female,Indiana,Unknown,61
302,Female,Indiana,Daughter,45
303,Female,Indiana,Stranger,30
304,Female,Indiana,Friend,21
305,Female,Indiana,Family,20
306,Female,Indiana,Ex-Husband,18
307,Female,Indiana,Brother,15
308,Female,Indiana,Mother,13
309,Female,Indiana,Common-Law Husband,7
310,Female,Indiana,Father,7
