State,Year,TotalHomicide,Rank
District of Columbia,1993,423,18.0
District of Columbia,1994,417,18.0
District of Columbia,1995,377,21.0
District of Columbia,1988,375,17.0
District of Columbia,1997,309,21.0
District of Columbia,2002,252,21.0
District of Columbia,2003,243,21.0
District of Columbia,1981,232,24.0
District of Columbia,1987,225,22.0
District of Columbia,1982,204,25.0
District of Columbia,2004,189,25.0
District of Columbia,1983,188,28.0
District of Columbia,2005,187,25.0
District of Columbia,1980,180,28.0
District of Columbia,1984,175,27.0
District of Columbia,2007,174,28.0
District of Columbia,2006,166,29.0
District of Columbia,2009,157,29.0
District of Columbia,1986,154,29.0
District of Columbia,1985,149,28.0
District of Columbia,2010,134,31.0
District of Columbia,2011,116,32.0
District of Columbia,2013,115,32.0
District of Columbia,2014,114,30.0
District of Columbia,2001,1,51.0
Florida,1981,1586,4.0
Florida,1980,1508,4.0
Florida,1982,1482,4.0
Florida,1986,1427,4.0
Florida,1996,1426,3.0
Florida,1987,1410,4.0
Florida,2007,1349,3.0
Florida,1993,1329,4.0
Florida,1984,1319,4.0
Florida,1985,1308,4.0
Florida,2008,1296,3.0
Florida,1994,1278,4.0
Florida,1983,1262,4.0
Florida,1992,1257,5.0
Florida,2006,1210,3.0
Florida,2012,1170,3.0
Florida,2009,1162,3.0
Florida,2014,1156,3.0
Florida,2011,1136,3.0
Florida,2010,1130,3.0
Florida,2013,1129,3.0
Florida,1995,1114,4.0
Florida,1998,1086,3.0
Florida,1997,1068,4.0
Florida,2004,1011,3.0
Florida,2003,976,3.0
Florida,2002,960,3.0
Florida,2005,960,3.0
Florida,2001,927,4.0
Florida,1999,916,4.0
Florida,2000,815,4.0
Florida,1991,1,49.0
Georgia,1989,805,6.0
Georgia,1993,764,10.0
Georgia,1990,737,7.0
Georgia,1991,733,8.0
Georgia,1988,731,6.0
Georgia,1994,699,10.0
Georgia,2007,696,6.0
Georgia,1992,681,11.0
Georgia,1995,660,10.0
Georgia,1986,652,7.0
Georgia,1996,644,9.0
Georgia,2003,643,6.0
Georgia,2008,619,6.0
Georgia,2014,608,6.0
Georgia,2002,603,8.0
Georgia,1987,593,7.0
Georgia,2006,586,7.0
Georgia,2009,584,7.0
Georgia,2012,584,7.0
Georgia,2001,575,8.0
Georgia,1982,574,10.0
Georgia,2013,567,7.0
Georgia,2010,565,7.0
Georgia,1985,557,7.0
Georgia,2011,557,7.0
Georgia,2004,549,8.0
Georgia,2005,532,10.0
Georgia,1998,531,10.0
Georgia,1999,527,9.0
Georgia,1997,523,10.0
Georgia,1984,511,9.0
Georgia,2000,508,10.0
Georgia,1981,491,13.0
Georgia,1980,475,15.0
Georgia,1983,424,11.0
Hawaii,1980,84,37.0
Hawaii,1995,58,37.0
Hawaii,1983,57,39.0
Hawaii,1987,53,38.0
Hawaii,1994,53,37.0
Hawaii,1986,52,39.0
Hawaii,1989,51,37.0
Hawaii,1997,48,38.0
Hawaii,1988,47,37.0
Hawaii,1981,46,40.0
Hawaii,1991,46,38.0
Hawaii,1990,45,39.0
Hawaii,1993,44,38.0
Hawaii,1985,43,41.0
Hawaii,1992,43,40.0
Hawaii,1999,43,37.0
Hawaii,1996,41,38.0
Hawaii,2001,36,40.0
Hawaii,2000,35,39.0
Hawaii,1984,34,42.0
Hawaii,2004,34,40.0
Hawaii,1982,33,44.0
Hawaii,1998,27,38.0
Hawaii,2010,27,43.0
Hawaii,2007,26,42.0
Hawaii,2008,26,43.0
Hawaii,2002,25,43.0
Hawaii,2005,25,43.0
Hawaii,2009,24,45.0
Hawaii,2011,24,43.0
Hawaii,2013,24,44.0
Hawaii,2003,23,42.0
Hawaii,2006,23,44.0
Hawaii,2012,23,43.0
Hawaii,2014,15,47.0
Idaho,2007,51,39.0
Idaho,1996,50,37.0
Idaho,1995,48,40.0
Idaho,1981,45,41.0
Idaho,1997,43,39.0
Idaho,2005,42,38.0
Idaho,1994,40,41.0
Idaho,1992,38,41.0
Idaho,1984,37,41.0
Idaho,1983,36,42.0
Idaho,1998,36,37.0
Idaho,2002,36,41.0
Idaho,1987,35,41.0
Idaho,1988,35,41.0
Idaho,1990,34,42.0
Idaho,2001,33,41.0
Idaho,2006,33,41.0
Idaho,1986,32,43.0
Idaho,1993,32,41.0
Idaho,2004,32,41.0
Idaho,2011,31,42.0
Idaho,1980,30,46.0
Idaho,2013,30,42.0
Idaho,2014,30,41.0
Idaho,2012,29,42.0
Idaho,1989,28,45.0
Idaho,2003,28,40.0
Idaho,1999,26,39.0
Idaho,1982,25,45.0
Idaho,1985,24,47.0
Idaho,2008,23,45.0
Idaho,2009,22,46.0
Idaho,2010,22,46.0
Idaho,1991,17,44.0
Idaho,2000,17,43.0
Illinois,1980,1323,5.0
Illinois,1991,1289,4.0
Illinois,1992,1262,4.0
Illinois,1994,1223,5.0
Illinois,1981,1221,5.0
Illinois,1983,1128,5.0
Illinois,1982,1108,5.0
Illinois,1989,1086,4.0
Illinois,1993,1013,5.0
Illinois,1988,1000,5.0
Illinois,1986,850,6.0
Illinois,1995,821,6.0
Illinois,1996,800,5.0
Illinois,1990,773,6.0
Illinois,1997,763,5.0
Illinois,1998,738,5.0
Illinois,2001,687,5.0
Illinois,2002,668,6.0
Illinois,1999,665,6.0
Illinois,2000,647,6.0
Illinois,2003,624,8.0
Illinois,2008,530,9.0
Illinois,2012,528,8.0
Illinois,2006,507,13.0
Illinois,2009,500,11.0
Illinois,2007,486,13.0
Illinois,2011,486,11.0
Illinois,2004,472,12.0
Illinois,2010,472,10.0
Illinois,2005,468,12.0
Illinois,2014,456,9.0
Illinois,2013,453,11.0
Illinois,1987,343,16.0
Illinois,1984,254,20.0
Illinois,1985,227,23.0
Indiana,1980,409,18.0
Indiana,1998,408,14.0
Indiana,1994,395,20.0
Indiana,1997,394,17.0
Indiana,2001,381,16.0
Indiana,1995,380,20.0
Indiana,1992,369,20.0
Indiana,1993,368,20.0
Indiana,1981,357,18.0
Indiana,2006,352,20.0
Indiana,2013,350,17.0
Indiana,2005,347,18.0
Indiana,2007,346,20.0
Indiana,2014,337,16.0
Indiana,1982,336,20.0
Indiana,1999,335,17.0
Indiana,2002,335,18.0
Indiana,2003,330,17.0
Indiana,1988,315,19.0
Indiana,1991,311,19.0
Indiana,1996,311,20.0
Indiana,2000,308,17.0
Indiana,2004,308,18.0
Indiana,2008,308,19.0
Indiana,2011,307,19.0
Indiana,2012,307,19.0
Indiana,2009,306,20.0
Indiana,2010,291,18.0
Indiana,1985,287,18.0
Indiana,1984,281,18.0
Indiana,1989,271,20.0
Indiana,1983,269,20.0
Indiana,1986,268,21.0
Indiana,1990,264,21.0
Indiana,1987,222,23.0
Iowa,1981,79,36.0
Iowa,2008,77,35.0
Iowa,1983,70,37.0
Iowa,1982,65,38.0
Iowa,1980,63,38.0
Iowa,2014,63,37.0
Iowa,1996,58,36.0
Iowa,1985,57,37.0
Iowa,1989,57,36.0
Iowa,1984,56,37.0
Iowa,1995,56,38.0
Iowa,2006,54,37.0
Iowa,2001,53,36.0
Iowa,1986,52,39.0
Iowa,1990,52,37.0
Iowa,1999,52,36.0
Iowa,2000,52,36.0
Iowa,2003,51,38.0
Iowa,2012,51,38.0
Iowa,1998,49,35.0
Iowa,2002,49,38.0
Iowa,1988,48,35.0
Iowa,1994,48,38.0
Iowa,2004,47,38.0
Iowa,2011,47,39.0
Iowa,2009,44,38.0
Iowa,1997,43,39.0
Iowa,2007,43,40.0
Iowa,2005,42,38.0
Iowa,2013,42,38.0
Iowa,2010,39,41.0
Iowa,1993,35,40.0
Iowa,1987,31,45.0
Iowa,1992,24,43.0
Kansas,1981,165,29.0
Kansas,1980,163,29.0
Kansas,1992,162,32.0
Kansas,1991,156,31.0
Kansas,1983,146,29.0
Kansas,1982,144,31.0
Kansas,2006,129,31.0
Kansas,1985,128,32.0
Kansas,2009,127,32.0
Kansas,2013,118,31.0
Kansas,2011,117,31.0
Kansas,2008,110,32.0
Kansas,2010,107,33.0
Kansas,1987,106,33.0
Kansas,2007,106,34.0
Kansas,1986,103,35.0
Kansas,2005,100,34.0
Kansas,1990,98,33.0
Kansas,1984,96,33.0
Kansas,2003,93,33.0
Kansas,2014,93,32.0
Kansas,2012,90,33.0
Kansas,1989,81,35.0
Kansas,2001,80,35.0
Kansas,2002,75,36.0
Kansas,2004,75,35.0
Kansas,2000,49,37.0
Kansas,1988,38,39.0
Kansas,1993,30,43.0
Kentucky,1980,389,19.0
Kentucky,1982,286,21.0
Kentucky,1983,269,20.0
Kentucky,1981,266,21.0
Kentucky,1985,261,21.0
Kentucky,1995,260,25.0
Kentucky,1986,251,22.0
Kentucky,1991,250,22.0
Kentucky,1990,248,24.0
Kentucky,1984,243,22.0
Kentucky,1993,240,26.0
Kentucky,1996,224,25.0
Kentucky,1997,221,26.0
Kentucky,2004,219,21.0
Kentucky,1992,218,27.0
Kentucky,2012,211,22.0
Kentucky,2007,209,22.0
Kentucky,2008,191,23.0
Kentucky,2009,190,23.0
Kentucky,2010,189,23.0
Kentucky,2005,180,27.0
Kentucky,2013,174,24.0
Kentucky,2014,168,26.0
Kentucky,1989,167,28.0
Kentucky,2011,161,25.0
Kentucky,2006,159,30.0
Kentucky,1998,124,30.0
Kentucky,1987,93,35.0
Kentucky,2002,87,32.0
Kentucky,1994,86,35.0
Kentucky,1999,84,32.0
Kentucky,2003,82,34.0
Kentucky,2001,81,34.0
Kentucky,2000,73,32.0
Louisiana,1994,865,7.0
Louisiana,1993,800,8.0
Louisiana,1995,750,7.0
Louisiana,1996,737,6.0
Louisiana,1992,690,9.0
Louisiana,1997,675,8.0
Louisiana,1982,670,9.0
Louisiana,1981,650,9.0
Louisiana,1990,611,10.0
Louisiana,2007,607,8.0
Louisiana,2003,601,9.0
Louisiana,1989,586,10.0
Louisiana,2004,586,7.0
Louisiana,1983,580,9.0
Louisiana,2002,577,9.0
Louisiana,1998,567,9.0
Louisiana,2000,558,9.0
Louisiana,1980,549,10.0
Louisiana,1986,529,10.0
Louisiana,1984,521,8.0
Louisiana,2009,520,8.0
Louisiana,2006,516,11.0
Louisiana,2001,511,10.0
Louisiana,2012,511,9.0
Louisiana,2011,509,8.0
Louisiana,2010,493,8.0
Louisiana,1999,482,10.0
Louisiana,2013,478,8.0
Louisiana,1985,453,10.0
Louisiana,1988,452,12.0
Louisiana,2014,452,11.0
Louisiana,2005,433,16.0
Louisiana,2008,396,15.0
Louisiana,1987,382,13.0
Louisiana,1991,332,18.0
Maine,1989,46,39.0
Maine,1980,36,44.0
Maine,1981,36,44.0
Maine,1988,36,40.0
Maine,2011,35,41.0
Maine,1987,33,43.0
Maine,2012,33,41.0
Maine,1994,32,42.0
Maine,2008,31,39.0
Maine,2013,30,42.0
Maine,1983,29,45.0
Maine,1985,29,45.0
Maine,2014,29,43.0
Maine,1998,27,38.0
Maine,2009,27,44.0
Maine,2010,27,43.0
Maine,1995,26,42.0
Maine,1996,26,41.0
Maine,1999,26,39.0
Maine,2006,26,43.0
Maine,2007,26,42.0
Maine,1982,25,45.0
Maine,1986,24,46.0
Maine,1997,22,42.0
Maine,1984,21,46.0
Maine,2001,21,44.0
Maine,2005,20,45.0
Maine,1990,18,46.0
Maine,2004,18,46.0
Maine,2002,16,45.0
Maine,2003,16,47.0
Maine,2000,15,44.0
Maine,1993,7,50.0
