,Year,State,Year
,,,count
435,1988,New Jersey,434
436,1988,New Mexico,134
437,1988,New York,2143
438,1988,North Carolina,507
439,1988,North Dakota,13
440,1988,Ohio,559
441,1988,Oklahoma,265
442,1988,Oregon,161
443,1988,Pennsylvania,572
444,1988,Rhodes Island,41
445,1988,South Carolina,345
446,1988,South Dakota,13
447,1988,Tennessee,407
448,1988,Texas,2009
449,1988,Utah,48
450,1988,Vermont,12
451,1988,Virginia,482
452,1988,Washington,273
453,1988,West Virginia,101
454,1988,Wisconsin,145
455,1988,Wyoming,14
456,1989,Alabama,416
457,1989,Alaska,41
458,1989,Arizona,291
459,1989,Arkansas,219
460,1989,California,3412
461,1989,Colorado,166
462,1989,Connecticut,197
463,1989,Delaware,33
464,1989,District of Columbia,439
465,1989,Georgia,805
466,1989,Hawaii,51
467,1989,Idaho,28
468,1989,Illinois,1086
469,1989,Indiana,271
470,1989,Iowa,57
471,1989,Kansas,81
472,1989,Kentucky,167
473,1989,Louisiana,586
474,1989,Maine,46
475,1989,Maryland,558
476,1989,Massachusetts,172
477,1989,Michigan,1016
478,1989,Minnesota,108
479,1989,Mississippi,169
480,1989,Missouri,413
481,1989,Montana,22
482,1989,Nebraska,40
483,1989,Nevada,98
484,1989,New Hampshire,36
485,1989,New Jersey,406
486,1989,New Mexico,108
487,1989,New York,1963
488,1989,North Carolina,589
489,1989,North Dakota,3
490,1989,Ohio,632
491,1989,Oklahoma,240
492,1989,Oregon,148
493,1989,Pennsylvania,745
494,1989,Rhodes Island,51
495,1989,South Carolina,336
496,1989,South Dakota,8
497,1989,Tennessee,371
498,1989,Texas,2142
499,1989,Utah,46
500,1989,Vermont,11
501,1989,Virginia,511
502,1989,Washington,211
503,1989,West Virginia,125
504,1989,Wisconsin,176
505,1989,Wyoming,22
506,1990,Alabama,463
507,1990,Alaska,37
508,1990,Arizona,301
509,1990,Arkansas,254
510,1990,California,3862
511,1990,Colorado,166
512,1990,Connecticut,177
513,1990,Delaware,33
514,1990,District of Columbia,481
515,1990,Georgia,737
516,1990,Hawaii,45
517,1990,Idaho,34
518,1990,Illinois,773
519,1990,Indiana,264
520,1990,Iowa,52
521,1990,Kansas,98
522,1990,Kentucky,248
523,1990,Louisiana,611
524,1990,Maine,18
525,1990,Maryland,578
526,1990,Massachusetts,186
527,1990,Michigan,997
528,1990,Minnesota,65
529,1990,Mississippi,178
530,1990,Missouri,438
531,1990,Montana,1
532,1990,Nebraska,42
533,1990,Nevada,105
534,1990,New Hampshire,21
535,1990,New Jersey,443
536,1990,New Mexico,96
537,1990,New York,2268
538,1990,North Carolina,704
539,1990,North Dakota,5
540,1990,Ohio,634
541,1990,Oklahoma,272
542,1990,Oregon,125
543,1990,Pennsylvania,784
544,1990,Rhodes Island,48
545,1990,South Carolina,422
546,1990,South Dakota,14
547,1990,Tennessee,433
548,1990,Texas,2485
549,1990,Utah,53
550,1990,Vermont,14
551,1990,Virginia,561
552,1990,Washington,249
553,1990,West Virginia,110
554,1990,Wisconsin,238
555,1990,Wyoming,23
556,1991,Alabama,434
557,1991,Alaska,45
558,1991,Arizona,308
559,1991,Arkansas,269
560,1991,California,4146
561,1991,Colorado,213
562,1991,Connecticut,172
563,1991,Delaware,39
564,1991,District of Columbia,489
565,1991,Florida,1
566,1991,Georgia,733
567,1991,Hawaii,46
568,1991,Idaho,17
569,1991,Illinois,1289
570,1991,Indiana,311
571,1991,Kansas,156
572,1991,Kentucky,250
573,1991,Louisiana,332
574,1991,Maryland,585
575,1991,Massachusetts,214
576,1991,Michigan,1028
577,1991,Minnesota,116
578,1991,Mississippi,219
579,1991,Missouri,523
580,1991,Montana,18
581,1991,Nebraska,56
582,1991,Nevada,139
583,1991,New Hampshire,37
584,1991,New Jersey,421
585,1991,New Mexico,115
586,1991,New York,2411
587,1991,North Carolina,779
588,1991,North Dakota,4
589,1991,Ohio,738
590,1991,Oklahoma,246
591,1991,Oregon,163
592,1991,Pennsylvania,733
593,1991,Rhodes Island,38
594,1991,South Carolina,382
595,1991,South Dakota,12
596,1991,Tennessee,401
597,1991,Texas,2768
598,1991,Utah,55
599,1991,Vermont,14
600,1991,Virginia,596
601,1991,Washington,221
602,1991,West Virginia,112
603,1991,Wisconsin,248
604,1991,Wyoming,15
605,1992,Alabama,391
606,1992,Alaska,44
607,1992,Arizona,345
608,1992,Arkansas,255
609,1992,California,4195
610,1992,Colorado,232
611,1992,Connecticut,181
612,1992,Delaware,20
613,1992,District of Columbia,450
614,1992,Florida,1257
615,1992,Georgia,681
616,1992,Hawaii,43
617,1992,Idaho,38
618,1992,Illinois,1262
619,1992,Indiana,369
620,1992,Iowa,24
621,1992,Kansas,162
622,1992,Kentucky,218
623,1992,Louisiana,690
624,1992,Maryland,623
625,1992,Massachusetts,180
626,1992,Michigan,985
627,1992,Minnesota,136
628,1992,Mississippi,209
629,1992,Missouri,519
630,1992,Montana,20
631,1992,Nebraska,44
632,1992,Nevada,136
633,1992,New Hampshire,19
634,1992,New Jersey,417
635,1992,New Mexico,101
636,1992,New York,2447
637,1992,North Carolina,728
638,1992,North Dakota,12
639,1992,Ohio,686
640,1992,Oklahoma,221
641,1992,Oregon,163
642,1992,Pennsylvania,772
643,1992,Rhodes Island,37
644,1992,South Carolina,371
645,1992,South Dakota,6
646,1992,Tennessee,468
647,1992,Texas,2359
648,1992,Utah,54
649,1992,Vermont,11
650,1992,Virginia,581
651,1992,Washington,274
652,1992,West Virginia,118
653,1992,Wisconsin,219
654,1992,Wyoming,20
655,1993,Alabama,477
656,1993,Alaska,60
657,1993,Arizona,362
658,1993,Arkansas,264
659,1993,California,4369
660,1993,Colorado,221
